Id,Label,Atribute
0,Jimmy Carter,1977
1,Richard Nixon,1969
2,John F. Kennedy,1961
3,Dwight D. Eisenhower,1953
4,Harry S Truman,1949
5,Barack Obama,2009
6,Franklin D. Roosevelt,1945
7,Franklin D. Roosevelt,1937
8,Franklin D. Roosevelt,1933
9,Herbert Hoover,1929
10,Ronald Reagan,1985
11,Ronald Reagan,1981
12,William J. Clinton,1997
13,George W. Bush,2005
14,Donald J. Trump (1st Term),2017
15,Barack Obama,2013
16,George Washington,1789
17,George Washington,1793
18,John Adams,1797
19,Thomas Jefferson,1801
20,Thomas Jefferson,1805
21,James Madison,1809
22,James Madison,1813
23,James Monroe,1817
24,James Monroe,1821
25,John Quincy Adams,1825
26,Andrew Jackson,1829
27,Andrew Jackson,1833
28,Martin van Buren,1837
29,William Henry Harrison,1841
30,James K. Polk,1845
31,Zachary Taylor,1849
32,Franklin Pierce,1853
33,James Buchanan,1857
34,Abraham Lincoln,1861
35,Abraham Lincoln,1865
36,Ulysses S. Grant,1869
37,Ulysses S. Grant,1873
38,Rutherford B. Hayes,1877
39,James A. Garfield,1881
40,Grover Cleveland,1885
41,Benjamin Harrison,1889
42,Grover Cleveland,1893
43,William McKinley,1897
44,William McKinley,1901
45,Theodore Roosevelt,1905
46,William Howard Taft,1909
47,Woodrow Wilson,1913
48,Woodrow Wilson,1917
49,Warren G. Harding,1921
50,Calvin Coolidge,1925
51,William J. Clinton,1993
52,George W. Bush,2001
53,"Joseph R. Biden, Jr.",2021
